Column1	year	original_name	author	name_category	valid_name	collection_holotype	country_holotype	collection_paratype	country_paratype	country_type_locality	decimal_longitude_type_locality	decimal_latitude_type_locality	type_locality_verbatim	type_locality_catalog_of_fishes	latitude	longitude	datum	uncertainty_(m)	precision	date	georeferenced_by	protocol	expedition	notes
51	2017	Anablepsoides chapare	Valdesalici & Gil 2017	valid	Anablepsoides chapare	CIRA 3272	Bolivia	MSNG	Italy	Bolivia			"Bolivia, Departamento Cochabamba, Chapare Province, Isiboro River drainage, tributary of Río Mamoré, 16°44'09.8''S 65°37'58.4''W"	"Small pool near Isinuta, Isiboro River drainage, tributary of Río Mamoré, Departamento Cochabamba, Chapare Province, Bolivia, 16°44'09.8""S, 65°37'58.4""W"	-16.73605556	-65.63288889								
155	1855	Doras weddellii	Castelnau 1855	valid	Anadoras weddellii	MNHN 0000-4155	France	NaN	NaN	Bolivia			Petites flaques d'eau de la province des Chiquitos	"Chiquitos, Bolivia"									Hugh Algernon Weddell	
17	1940	Anchoviella carrikeri	Fowler 1940	valid	Anchoviella carrikeri	ANSP 68980	United States of America	"ANSP 68981-19 (39), 69020 (1, c&s)"	United States of America	Bolivia			"Boca Chapare, Cochabamba, Bolivia"	"Mouth of Río Chapare, Cochabamba, Bolivia"	-15.940585	-64.755579	(WGS84) World Geodetic System 1984	2354	0.0000001	Pascal I. Hablützel	5/8/2024 19:45	protocol not recorded	Melbourne A. Carriker	
167	1915	Xenocara boliviana	Steindachner 1915	synonym	Ancistrus marcapatae	"(several) NMW 43475-76 (2, 27)"	Austria	NaN	NaN	Bolivia			"Rio Songo, Nord Yungas, Bolivia"	"Río Songo in North Yungas, upper Amazon River basin, Bolivia"	-15.783842	"Bolivia, Departamento Santa Cruz, Ñuflo de Chávez Province, south of San Ramon, seasonal pools in the Rio San Pablo drainage, Rio Madeira River basin, 16°39’47”S 62°31’19”W, altitude 240 m"	(WGS84) World Geodetic System 1984	3454	0.0000001		5/8/2024 11:30	Georeferencing Quick Reference Guide. 2020	Anton Hermann Fassl	
168	1924	Ancistrus megalostomus	Pearson 1924	valid	Ancistrus megalostomus	CAS 64614 [ex IU 17007] (2)	United States of America	NaN	NaN	Bolivia			"Huachi. At the junction of the Bopi and Cochabamba rivers. Altitude 2,235 feet."	"Huachi, at junction of Bopi and Cochabamba rivers, Bolivia, elevation 2235 feet"	-15.680312	-67.132572	(WGS84) World Geodetic System 1984	5654	0.0000001	Pascal I. Hablützel	1/29/2024 21:58	Georeferencing Quick Reference Guide. 2020	Nathan E. Pearson	
169	1904	Xenocara montana	Regan 1904	valid	Ancistrus montanus	BMNH 1902.12.18.4	United Kingdom	NaN	NaN	Bolivia			"Tumupara, Andes of Bolivia, 1500 feet"	"Tumupasa, Andes of Bolivia, elevation 1500 feet"	-14.150482	-67.888899	(WGS84) World Geodetic System 1984	1255	0.0000001	Pascal I. Hablützel	5/8/2024 11:32	Georeferencing Quick Reference Guide. 2020	John Willam Evans	
121	1878	Elopomorphus jordanii	Gill 1878	synonym	Anodus elongatus	USNM 5926	United States of America	NaN	NaN	Bolivia			Mamore River in Bolivia	"Río Mamoré, Amazon system, Bolivia"									Lardner A. Gibbon	collected by Gibbon
	1854	Hypostomus horridus	Kner 1854	valid	Aphanotorulus horridus	"NMW 16325 (1, dry), 86604 (1, dry)"	Austria	NaN	NaN	Bolivia/Brazil			Forte do Principe am Rio Guaporé	"Forte do Principe, Rio Guaporé, Brazil"	-12.427184	-64.425734	(WGS84) World Geodetic System 1984	1255	0.0000001	Pascal I. Hablützel	5/8/2024 19:00	Georeferencing Quick Reference Guide. 2020	Johann Natterer	
171	1924	Plecostomus popoi	Pearson 1924	synonym	Aphanotorulus unicolor	CAS 77346 [ex IU 17010]	United States of America	"CAS 81231 [ex IU 17010] (orig. 3, now 2); UMMZ 66503 (1)"	United States of America	Bolivia			"Popoi River, Upper Beni."	"Río Popoi, Upper Río Beni system, upper Amazon River basin, Bolivia"	-15.642896	-67.1626	(WGS84) World Geodetic System 1984	353	0.0000001	Pascal I. Hablützel	7/14/2024 22:52	Georeferencing Quick Reference Guide. 2020	Nathan E. Pearson	
170	1940	Plecostomus chaparae	Fowler 1940	synonym	Aphanotorulus unicolor	ANSP 69067	United States of America	NaN	NaN	Bolivia			"Boca Chapare, Rio Chimore, Cochabamba, Bolivia."	"Boca Chapare, Río Chimore, Cochabamba, Bolivia"	-15.940585	-64.755579	(WGS84) World Geodetic System 1984	2354	0.0000001	Pascal I. Hablützel	5/8/2024 19:45	protocol not recorded	Melbourne A. Carriker	
	1973	Aphyocharacidium bolivianum	Géry 1973	valid	Aphyocharacidium bolivianum	ZFMK 2933	Germany	"ZSM 40738 [ex MHNG 2232.073] (1), 407389 [ex MHNG 2173.030](1)"	Germany	Bolivia			"Brook between upper rios Chaparé and Chimoré (or Ichilo), tributaries of the rio Mamoré (into rio Madeira), east of Todos Santos, Central Bolivia, approximately 16°47'S and 65°W"	"Brook between upper Río Chaparé and Río Chimoré, tributary of Río Mamoré, east of Todos Santos, Bolivia, about 16°47'S, 65°00'W"	-16.7833333	-65	(WGS84) World Geodetic System 1984	19569	0.0000001	Pascal I. Hablützel	7/14/2024 22:14	Georeferencing Quick Reference Guide. 2020		
77	1940	Aphyocharax gracilis	Fowler 1940	valid	Aphyocharax gracilis	ANSP 68864	United States of America	ANSP 68865 (1)	United States of America	Bolivia			"Villa Montes, Rio Pilcomayo, Bolivia"	"Río Pilcomayo, Villa Montes, Bolivia"	-21.27502	-63.460978	(WGS84) World Geodetic System 1984	5515	0.0000001	Pascal I. Hablützel	1/30/2024 18:24	Georeferencing Quick Reference Guide. 2020	Melbourne A. Carriker	
1	2008	Apistogramma erythrura	Staeck & Schindler 2008	valid	Apistogramma erythrura	MTD F 31469	Germany	"MTD F 31470-31476 (7), 31477-94 (18), 31495-502 (8); uncat. (2)"	Germany	Bolivia			"Bolivia, Depto. Beni, drainage of the río Yata, Laguna Larga (= Lago Largo), approx. 160 km northwest of Santa Ana de Yacuma"	"Bolivia, Depto. Beni, drainage of the río Yata, Laguna Larga (= Lago Largo), approx. 160 km northwest of Santa Ana de Yacuma"	-12.826705	-65.752671	(WGS84) World Geodetic System 1984	12115	0.0000001	Pascal I. Hablützel	1/24/2024 18:16	Georeferencing Quick Reference Guide. 2020		
2	1983	Apistogramma inconspicua	Kullander 1983	valid	Apistogramma inconspicua	IRSNB 637	Belgium	"IRSNB 638 (orig. 2, now 1), MZUSP [ex IRSNB 638] (1), NRM 16667 [A82/3405] (1)"	"Belgium, Brazil, Sweden"	Bolivia			"Bolivia, depto. Santa Cruz, R. Paraguay system, small pool of the R. Candelaria, above bridge on road Carmen-Santa Rosa (16°00'S 61°40'W)"	"Bolivia, depto. Santa Cruz, R. Paraguay system, small pool of the R. Candelaria, above bridge on road Carmen-Santa Rosa (16°00'S 61°40'W)"	-16.052671	-61.143175	(WGS84) World Geodetic System 1984	277	0.0000001	Pascal I. Hablützel	1/24/2024 18:01	Georeferencing Quick Reference Guide. 2020		
4	1985	Apistogramma linkei	Koslowski 1985	valid	Apistogramma linkei	ZFMK 13323	Germany	"BMNH 1985.1.28.1-5 (5); IRSNB 695 (1), 724 (6); MNHN 1985-1082 to 1083 [ex NRM] (2, 2), 1988-941 (2); MZUSP 28726 (8); NRM A83/1983273.3046 (7), A83/1983281.3054 (7), A84/1983166.3061 (3), A84/1982118.3062 (5); ZFMK 2268-73 (6), 2303 (1), 13320-22 (3), 13324-399 (76); ZMA 119629 (6)"	"Belgium, Brazil, France, Germany, Sweden, United Kingdom"	Bolivia			"Bolivia, Wasseransammlungen entlang der Strasse und kleiner flacher Wasserlauf der die Straße kreuzt und Lagune an der Straße ca. 2 km östlich vor dem Ort Japacani am Rio Japacani"", sta. B 2, about 68°50'W–16°15'S"	"Northwest of the town of Santa Cruz, about 16°20'S, 68°25'W to 16°15'S, 68°50'W, Bolivia"	-17.408278	-63.852839	(WGS84) World Geodetic System 1984	360	0.0000001	Pascal I. Hablützel	1/26/2024 7:56	Georeferencing Quick Reference Guide. 2020		
3	1985	Apistogramma linkei	Koslowski 1985	valid	Apistogramma linkei	ZFMK 13323	Germany	"BMNH 1985.1.28.1-5 (5); IRSNB 695 (1), 724 (6); MNHN 1985-1082 to 1083 [ex NRM] (2, 2), 1988-941 (2); MZUSP 28726 (8); NRM A83/1983273.3046 (7), A83/1983281.3054 (7), A84/1983166.3061 (3), A84/1982118.3062 (5); ZFMK 2268-73 (6), 2303 (1), 13320-22 (3), 13324-399 (76); ZMA 119629 (6)"	"Belgium, Brazil, France, Germany, Sweden, United Kingdom"	Bolivia			"Bolivia, northwest of the town Santa Cruz, Lagunen entlang der Straße zwischen den Orten Portachuelo und Bella Vista, 76 km nordwestlich von Santa Cruz, sta. B 1, about 68°25'W–16°20'S"	"Northwest of the town of Santa Cruz, about 16°20'S, 68°25'W to 16°15'S, 68°50'W, Bolivia"	-17.377226	-63.477333	(WGS84) World Geodetic System 1984	6015	0.0000001	Pascal I. Hablützel	1/26/2024 7:54	Georeferencing Quick Reference Guide. 2020		
5	1976	Apistogramma luelingi	Kullander 1976	valid	Apistogramma luelingi	ZFMK 2283	Germany	"ZFMK 2303 (1), 2284-91 (8)"	Germany	Bolivia			Kleine Quebrada unterhalb Todos Santos (Bolivien)	"Quebrada mit Altwasser unterhalb San Francisco seitlich des River Chiripiri, Bolivia"	-13.285749	-65.181593	(WGS84) World Geodetic System 1984	1615	0.0000001	Pascal I. Hablützel	1/26/2024 7:49	Georeferencing Quick Reference Guide. 2020		
6	2002	Apistogramma rubrolineata	"Hein, Zarske & Zapata 2002"	valid	Apistogramma rubrolineata	MTD F 26477	Germany	"CIRA UTB 970 a-e (5), MTD F 26478-86 (9), NMW 94645-46 (2), ZFMK 31241-42 (2)"	"Austria, Bolivia, Germany"	Bolivia			"Bolivien, Departamento Pando, Rio Manuripi, nahe der Ortschaft Puerto Cardenas (11°20'083'' S, 67°44'576''W; Abb. 2)"	"Rio Manuripi, near Ortschaft Puerto Cardenas, 11°20.083'S, 67°44.576'W, Departamento Pando, Bolivia"	-11.33471667	-67.74293333								
7	2003	Apistogramma similis	Staeck 2003	valid	Apistogramma similis	MTD F 27038	Germany	"MTD F 27034 (1), 27482-84 (3); NMW (2); ZFMK (2); ZMB 33940 (2)"	"Austria, Germany"	Bolivia			Urwaldbach in der bolivianischen Provinz Beni an der Laguna La Brava im Fluss-System des Rio Yata.	"Forest brook at the Laguna La Brava, Rio Yata system, Beni, Bolivia"	-12.756182	-65.89593	(WGS84) World Geodetic System 1984	164506	0.0000001	Pascal I. Hablützel	1/30/2024 17:19	Georeferencing Quick Reference Guide. 2020		
8	2016	Apistogramma sororcula	Staeck & Schindler 2016	valid	Apistogramma sororcula	MTD F 33580	Germany	"CIRA-UTB, MTD"	"Bolivia, Germany"	Bolivia			"Bolivia, Depto. Beni, rio San Martin, approx. 5 km upstream of the village Bella Vista"	"Rio San Martin, approx. 5 km upstream of the village Bella Vista, Depto. Beni, Bolivia"	-13.285749	-63.664146	(WGS84) World Geodetic System 1984	1615	0.0000001	Pascal I. Hablützel	1/26/2024 7:46	Georeferencing Quick Reference Guide. 2020		
9	1985	Apistogramma staecki	Koslowski 1985	valid	Apistogramma staecki	ZFMK 13400	Germany	"MZUSP 28725 (2); NRM 16792 (7); SMF 18855 (8); ZFMK 13401-04 (4), 13405-10 (6)"	"Brazil, Germany"	Bolivia			"Bolivia, south of the town Trinidad, ""Lagunen beiderseits der Straße von Trinidad ca. 10 km südlich in Richtung El Colegio und Loreto"", sta.B11, about 64°51'W–14°57'S"	"South of the town of Trinidad, Bolivia, about 14°57'S, 64°51'W"	-14.900223	-64.827154	(WGS84) World Geodetic System 1984	1102	0.0000001	Pascal I. Hablützel	1/24/2024 18:29	Georeferencing Quick Reference Guide. 2020		
	1911	Heterogramma trifasciatum maciliense	Haseman 1911	synonym	Apistogramma trifasciata	FMNH [ex CM 2751] (21 mm)	United States of America	"CAS 33722 [ex IU 13282] (1), FMNH 54177 [ex CM 2751] (2, missing)"	United States of America	Bolivia/Brazil			São Antonio de Guaporé	"São Antonio de Guaporé, Amazonas, Brazil"	-12.544691	-63.526247	(WGS84) World Geodetic System 1984	5663	0.0000001	Pascal I. Hablützel	5/8/2024 10:49	Georeferencing Quick Reference Guide. 2020	John D. Haseman	
207	1924	Astroblepus longiceps	Pearson 1924	valid	Astroblepus longiceps	CAS 64618 [ex IU 17357]	United States of America	"CAS 64619 [ex IU 17357] (orig. 12, now 9), UMMZ 66508 (3)"	United States of America	Bolivia			Rio Colorado. Tributary to the Bopi ten miles above Huachi	"Río Colorado, Lower Bopi system, Bolivia"	-15.754803	-67.164668	(WGS84) World Geodetic System 1984	353	0.0000001	Pascal I. Hablützel	7/14/2024 22:40	Georeferencing Quick Reference Guide. 2020	Nathan E. Pearson	
208	1916	Arges stuebeli	Wandolleck 1916	valid	Astroblepus stuebeli	(3) MTD F977 (1)	Germany	NaN	NaN	Bolivia/Peru			Titicacasee	"Lake Titicaca, Peru/Bolivia"	-15.912056	-69.327967	(WGS84) World Geodetic System 1984	99154	0.0000001	Pascal I. Hablützel	1/28/2024 17:57	Georeferencing Quick Reference Guide. 2020	collected by Stübel	
78	2018	Astyanax boliviensis	"Ruiz-C., Román-Valencia, Taphorn, Buckup & Ortega 2018"	valid	Astyanax boliviensis	CBF 13504	Bolivia	"CBF, UMSS"	Bolivia	Bolivia			"La Paz, Iturralde Province, Amazon River Basin, Madeira-Beni-Madidi-Candelaria River drainages, Candelaria River at La Candelaria, 13º35'21.88'' S, 68º41'31.06'' W"	"Madeira-Beni-Madidi-Candelaria River drainages, Candelaria River at La Candelaria, Amazon River basin, Iturralde Province, Bolivia, 13°35'21.88""S, 68°41'31.06""W, elevation 304 meters"	-13.58941111	-68.69196111								
79	1943	Astyanax chaparae	Fowler 1943	valid	Astyanax chaparae	ANSP 69194	United States of America	NaN	NaN	Bolivia			"Todos Santos, Bolivia"	"Todos Santos, Río Chapare, Cochabamba, Bolivia, elevation 1000 feet"	-16.813665	-65.175711	(WGS84) World Geodetic System 1984	3454	0.0000001	Pascal I. Hablützel	5/8/2024 19:42	protocol not recorded	Melbourne A. Carriker	
97	1943	Astyanax mizquae	Fowler 1943	valid	Knodus mizquae	ANSP 69176	United States of America	"ANSP 69177-92 (16, 1 missing), Géry coll. (1) [ex ANSP 69177]"	United States of America	Bolivia			"Ele Ele, 5000 feet elevation, Rio Mizque, Department of Cochabamba, Bolivia"	"Río Mizque, Ele Ele, Cochabamba, Bolivia, elevation 5000 feet"	-18.112593	-64.76778	(WGS84) World Geodetic System 1984	2353	0.0000001	Pascal I. Hablützel	5/8/2024 19:48	protocol not recorded	Melbourne A. Carriker	
80	1924	Astyanacinus multidens	Pearson 1924	valid	Astyanax multidens	CAS 38955 [ex IU 17323]	United States of America	"CAS 38955 [ex IU 17323] (16, with lectotype); ?MCZ 20826 (1), 21064 (1), and 89559 (27); ?UMMZ 66510 (6)"	United States of America	Bolivia			Rio Colorado. Tributary to the Bopi ten miles above Huachi	"Río Colorado, Lower Bopi, Bolivia"	-15.754803	-67.164668	(WGS84) World Geodetic System 1984	353	0.0000001	Pascal I. Hablützel	7/14/2024 22:40	Georeferencing Quick Reference Guide. 2020	Nathan E. Pearson	
	2018	Astyanax bopiensis	"Ruiz-C, Román-Valencia, Raphorn, Buckup & Ortega 2018"	synonym	Astyanax multidens	CAS 38955 [ex IU 17323]	United States of America	CAS 236977	United States of America	Bolivia				"Lower Bopi, Colorado River, Bolivia"	-15.754803	-67.164668	(WGS84) World Geodetic System 1984	353	0.0000001	Pascal I. Hablützel	7/14/2024 22:40	Georeferencing Quick Reference Guide. 2020	Nathan E. Pearson	
52	2015	Austrolebias accorsii	Nielsen & Pillet 2015	valid	Austrolebias accorsii	ZUEC 10792	Brazil	ZUEC 10793 (19)	Brazil	Bolivia				"Departamento de Santa Cruz de La Sierra, temporary pool, Río Grande basin (trib. to Río Mamore basin), 18°39'26.2""S, 62°58'0.2""W, Bolivia, altitude 366 meters"	-18.65727778	-62.96672222								
	2024	Austrolebias ayoreode	Drawert & Ergueta 2024	valid	Austrolebias ayoreode	MNKP 16612	Bolivia	"MNKP 16587 (23), MNKP 16590 (3, c&s)"	Bolivia	Bolivia			"Bolivia, Santa Cruz, Charagua Iyambae Guarani Autonomous Territory, Ñembi Guasu Conservation and Ecological Importance Area, temporary pool within low dry forest (Abayoy) on side of dirt road between San Jorge and Ponderosa ranches ca. 10 km west of San Jorge, hydrologic unit 6424726 (Pfafstetter), San Miguel watershed, upper Paraguay River drainage, La Plata basin, 19°08’46”S 59°55’44”W"											
19	1966	Belonion apodion	Collette 1966	valid	Belonion apodion	AMNH 20805	United States of America	"AMNH 20806 (3), 20807 [ex MNRJ 4490] (2); MNHN 1966-0725 (2); MNRJ 4490 (82); RMNH 26113 [ex USNM 199540] (2), USNM 199539 (3), 199540 (27, 5 c&s)"	"Brazil, France, The Netherlands, United States of America"	Bolivia			"Bolivia, laguna 3 kilometers southwest of Costa Margues, Brazil, Río Guaporé"	"Laguna 3 kilometers southwest of Costa Marques, Rio Guaporé, Bolivia at Brazil-Bolivia boundary"	-12.473538	-64.244053	(WGS84) World Geodetic System 1984	1116	0.0000001	Pascal I. Hablützel	1/28/2024 17:38	Georeferencing Quick Reference Guide. 2020		
131	2017	Brachyhypopomus alberti	"Crampton, de Santana, Waddell & Lovejoy 2017"	valid	Brachyhypopomus alberti	CBF 10284	Bolivia	"ANSP, CBF, UMSS"	"Bolivia, United States of America"	Bolivia			"Bolivia, Beni, mun. Riberalta, stream nr. San José, nr. Riberalta, affl. río Beni, affl. rio Madeira, Amazonas dr., 10°55'32""S, 066°00'36""W"	"Stream near San José, municipality Riberalta, Río Beni drainage, Rio Madeira basin, Beni, Bolivia, 10°55'32""S, 066°00'36""W"	-10.92555556	-66.01								
132	2017	Brachyhypopomus arrayae	"Crampton, de Santana, Waddell & Lovejoy 2017"	valid	Brachyhypopomus arrayae	UMSS 7048	Bolivia	"ANSP, AUM, CAS, CBF, UF, UMSS"	"Bolivia, United States of America"	Bolivia			"Bolivia, Beni, mun. Riberalta, small stream nr. Puerto Hamburgo, affl. río Beni, affl. rio Madeira, Amazonas dr., 11°01'52""S 66°05'39""W"	"Small stream near Puerto Hamburgo, municipality Riberalta, Río Beni drainage, Rio Madeira basin, Beni, Bolivia, 11°01'52""S, 66°05'39""W"	-11.03111111	-66.09416667								
143	1983	Corydoras bolivianus	Nijssen & Isbrücker 1983	synonym	Brochis geryi	MNHN 1983-0528	France	ZMA 119100 (1)	The Netherlands	Bolivia			"plaine inondée, à quelques kilomètres de Trinidad (14° 46' S, 65° 50' O), bassin du Rio Mamoré"	"Flooded plain a few kilometers from Trinidad, 14°46'S, 65°50'W, Río Mamoré basin, Beni Province, Bolivia"										
142	1983	Corydoras geryi	Nijssen & Isbrücker 1983	valid	Brochis geryi	MNHN 1983-0529	France	"MHNG 214988-89 (2), MNHN 1983-0530 (2), ?MNHN [ex ORSTOM-Trinidad, Bolivia] uncat. (1), ZMA 109102 (4)"	"France, Switzerland, The Netherlands"	Bolivia			"plaine inondée, à quelques kilomètres de Trinidad (14° 46' S, 65° 50' O), bassin du Rio Mamoré"	"Flooded plain a few kilometers from Trinidad, 14°46'S, 65°50'W, Río Mamoré basin, Beni Province, Bolivia"									G. Loubens (1982)	
144	2004	Corydoras isbrueckeri	Knaack 2004	valid	Brochis isbrueckeri	MTD F 28474	Germany	"CAS 219275 (2); CIRA-UTB 1084 (2); CJK uncat (135), uncat (135); MCP uncat. (1); MTDF 28475 (1), 28476 (1), 28477 (1); ZMA 123.1000.740 (1), 123.1000.741 (1); ZMB 33536 (1), 33537 (1)"	"Bolivia, Germany, The Netherlands, United States of America"	Bolivia			"Bolivien, Departamento Santa Cruz, Provincia J.M. Velasco, System río Itenez, río Paragua – Nebengewässer (namenloser arroyo), Restgewässer: 13°34,384’S und 62°03,067’W"	"Tributary of río Paragua (a nameless small stream), río Itenez system, Provincia J.M. Velasco, Departamento Santa Cruz, Bolivia, 13°34.384's, 62°03.067'W"	-13.57306667	-62.05111667								
148	2004	Corydoras noelkempffi	Knaack 2004	valid	Brochis noelkempffii	MTD F 28576	Germany	CIRA-UTB 1085 (2); CJK uncat. (32); MTD F 28477 (1); ZMA 123.1000.742 (1) and .743 (1)	"Bolivia, Germany, The Netherlands"	Bolivia			"Bolivien, Departamento Santa Cruz, Provincia J.M. Velasco/Nuflo de Chavez, System río Itenez, río Blanco, río San Martin (Abb. 42), Hauptstrom: 15°23.265’S und 61°29.758’W."	"Río San Martin, río Itenez system, Provincia J.M. Velasco, Departamento Santa Cruz, Bolivia, 15°23.265'S, 61°29.758'W"	-15.38775	-61.49596667								
	2001	Corydoras pantanalensis	Knaack 2001	valid	Brochis pantanalensis								"Bolivian, Prov. Santa Crz, Restgewässer im nördlichen Pantanal, èberschwemmungsgebiet im Raum San Lorenz, Flusssystem Rio Cussis und Rio Las Petas. Koordinates des Fundortes: 16° 06' 525'' S, 59° 55' 620'' W."											
152	1855	Callichthys taiosh	Castelnau 1855	synonym	Brochis splendens	MNHN 0000-4290	France	NaN	NaN	Bolivia			"Pays de Chiquitos, flaques d'eau"	"Chiquitos, Bolivia"									Hugh Algernon Weddell	
81	1924	Hyphessobrycon ellisi	Pearson 1924	valid	Bryconacidnus ellisi	"(55) CAS 47167 [ex IU 17343] (37), CAS-SU 24660 [ex IU 17343] (3), UMMZ 66505 (14), USNM 117544 [ex UMMZ 66505, orig. IU 17343] (1)"	United States of America	NaN	NaN	Bolivia			"Espia. At the junction of the Miguilla and La Paz rivers. Altitude 3,080 feet."	"Espia, Bolivia"	-16.51609	-67.343336	(WGS84) World Geodetic System 1984	1254	0.0000001	Pascal I. Hablützel	1/29/2024 21:57	Georeferencing Quick Reference Guide. 2020	Nathan E. Pearson	
